PLAYER_NAME,recovered_shots,slump_shots,avg_shot_distance_recovered,avg_shot_distance_slump,avg_loc_x_recovered,avg_loc_x_slump,avg_loc_y_recovered,avg_loc_y_slump,avg_shot_distance_change,most_common_slump_shot_zone,slump_shot_count,most_common_recovery_shot_zone,recovery_shot_count
Naz Reid,30,202,14.066666666666666,14.658415841584159,23.833333333333332,1.693069306930693,108.1,111.44059405940594,-0.5917491749174921,Above the Break 3,75,Above the Break 3,13
Nic Claxton,10,53,3.2,5.9245283018867925,8.3,-3.490566037735849,19.7,38.056603773584904,-2.7245283018867923,In The Paint (Non-RA),25,Restricted Area,6
Nikola Jokić,51,181,6.568627450980392,11.762430939226519,-6.9411764705882355,9.121546961325967,60.1764705882353,103.0,-5.193803488246127,In The Paint (Non-RA),68,In The Paint (Non-RA),24
Nikola Vučević,35,173,9.942857142857143,13.300578034682081,4.8,-13.664739884393063,75.17142857142858,112.60693641618496,-3.357720891824938,In The Paint (Non-RA),58,In The Paint (Non-RA),11
Norman Powell,35,220,9.085714285714285,15.0,-6.828571428571428,-11.345454545454546,64.25714285714285,112.55454545454545,-5.914285714285715,Above the Break 3,81,Restricted Area,21
OG Anunoby,31,245,9.870967741935484,14.363265306122448,-22.161290322580644,-21.538775510204083,48.03225806451613,76.58367346938776,-4.4922975641869645,Restricted Area,75,Restricted Area,16
Obi Toppin,12,69,3.5833333333333335,15.072463768115941,-21.916666666666668,-20.91304347826087,19.916666666666668,82.94202898550725,-11.489130434782608,Restricted Area,23,Restricted Area,10
Onyeka Okongwu,10,68,4.6,7.1911764705882355,6.5,18.852941176470587,45.6,48.911764705882355,-2.591176470588236,Restricted Area,45,Restricted Area,7
P.J. Washington,20,150,9.0,11.84,-41.25,0.7333333333333333,61.75,78.09333333333333,-2.84,In The Paint (Non-RA),47,Restricted Area,9
Paolo Banchero,37,256,6.837837837837838,13.96875,-23.54054054054054,8.453125,39.972972972972975,108.7109375,-7.130912162162162,Above the Break 3,67,Restricted Area,21
Pascal Siakam,40,198,8.85,11.606060606060606,16.4,-13.16161616161616,53.6,80.20707070707071,-2.756060606060606,Restricted Area,61,Restricted Area,18
Payton Pritchard,24,186,15.375,20.763440860215052,17.958333333333332,27.258064516129032,93.125,155.23655913978496,-5.388440860215052,Above the Break 3,107,Above the Break 3,9
Quentin Grimes,31,155,11.903225806451612,15.896774193548387,-6.580645161290323,-26.219354838709677,83.16129032258064,109.79354838709678,-3.9935483870967747,Above the Break 3,66,Restricted Area,12
RJ Barrett,40,218,7.35,11.756880733944953,-6.925,11.720183486238533,56.1,82.85779816513761,-4.406880733944954,Restricted Area,78,Restricted Area,22
Rudy Gobert,5,27,1.0,3.5185185185185186,6.8,-6.444444444444445,13.8,33.111111111111114,-2.5185185185185186,Restricted Area,19,Restricted Area,5
Russell Westbrook,26,206,9.576923076923077,13.009708737864077,-5.461538461538462,-12.475728155339805,57.34615384615385,79.19417475728156,-3.4327856609410006,Restricted Area,68,Restricted Area,14
Santi Aldama,22,125,11.0,15.864,-19.181818181818183,12.672,84.72727272727273,111.376,-4.864000000000001,Above the Break 3,46,Restricted Area,9
Scottie Barnes,43,293,8.093023255813954,12.573378839590443,-1.627906976744186,-20.58361774744027,63.02325581395349,93.82252559726962,-4.48035558377649,In The Paint (Non-RA),88,Restricted Area,21
Shaedon Sharpe,47,243,10.851063829787234,13.7119341563786,-0.574468085106383,-3.1152263374485596,86.34042553191489,102.46502057613169,-2.8608703265913658,Above the Break 3,76,Restricted Area,21
Shai Gilgeous-Alexander,62,369,11.32258064516129,13.707317073170731,-6.258064516129032,-15.468834688346883,96.5,108.34417344173441,-2.3847364280094414,Above the Break 3,110,Restricted Area,19
Stephen Curry,49,291,18.775510204081634,19.831615120274915,-2.2653061224489797,16.213058419243985,135.73469387755102,157.15463917525773,-1.0561049161932807,Above the Break 3,165,Above the Break 3,25
Stephon Castle,39,250,9.025641025641026,12.804,12.41025641025641,16.616,72.12820512820512,94.612,-3.7783589743589747,Restricted Area,79,Restricted Area,21
T.J. McConnell,17,94,7.529411764705882,9.106382978723405,14.0,13.691489361702128,48.35294117647059,65.26595744680851,-1.5769712140175223,Restricted Area,31,In The Paint (Non-RA),8
Tobias Harris,24,163,9.25,13.134969325153374,3.7083333333333335,16.98159509202454,81.125,83.0122699386503,-3.8849693251533743,In The Paint (Non-RA),53,In The Paint (Non-RA),9
Toumani Camara,15,149,16.133333333333333,14.516778523489933,11.0,7.221476510067114,131.53333333333333,73.8255033557047,1.6165548098434002,Restricted Area,46,Above the Break 3,9
Trae Young,77,414,13.571428571428571,16.13768115942029,2.012987012987013,11.444444444444445,114.18181818181819,135.47826086956522,-2.566252587991718,Above the Break 3,171,In The Paint (Non-RA),27
Trey Murphy III,36,214,9.61111111111111,15.710280373831775,19.25,-6.771028037383178,67.97222222222223,117.16822429906541,-6.099169262720665,Above the Break 3,92,Restricted Area,17
Ty Jerome,11,94,9.545454545454545,15.308510638297872,28.272727272727273,1.7340425531914894,82.63636363636364,109.94680851063829,-5.7630560928433265,In The Paint (Non-RA),34,In The Paint (Non-RA),5
Tyler Herro,49,301,13.857142857142858,17.269102990033222,-11.326530612244898,13.588039867109634,110.83673469387755,133.7906976744186,-3.411960132890364,Above the Break 3,139,Above the Break 3,16
Tyrese Haliburton,46,231,16.17391304347826,18.744588744588743,35.108695652173914,36.75757575757576,127.78260869565217,144.55411255411255,-2.5706757011104813,Above the Break 3,101,Above the Break 3,19
Tyrese Maxey,49,310,8.081632653061224,13.274193548387096,5.673469387755102,15.9,68.12244897959184,103.49354838709678,-5.192560895325872,Restricted Area,109,Restricted Area,27
Tyus Jones,19,138,14.947368421052632,18.695652173913043,33.473684210526315,-27.652173913043477,61.473684210526315,102.91304347826087,-3.748283752860411,Above the Break 3,48,Restricted Area,5
Victor Wembanyama,31,167,12.290322580645162,16.67065868263473,-8.870967741935484,-16.035928143712574,102.74193548387096,141.2814371257485,-4.380336101989569,Above the Break 3,76,Restricted Area,13
Zaccharie Risacher,33,193,11.393939393939394,12.875647668393782,-24.96969696969697,-8.917098445595855,53.696969696969695,65.81865284974093,-1.4817082744543875,Restricted Area,64,Restricted Area,12
Zach LaVine,39,189,14.564102564102564,14.571428571428571,-21.974358974358974,-1.0052910052910053,114.12820512820512,101.88359788359789,-0.0073260073260073,Restricted Area,63,Above the Break 3,18
